wdNumber,docNumber,lease,category,amount,periodStart,periodEnd,submittedDate,unit,comment,company,supplier,arrangement,invoicing
SINV-351249,4004547314,50345992-10000326006,Rental,$924.75,2025-09-22,2025-09-22,2025-09-30,8FGC70U-11073,,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,First of the Month
SINV-351233,4004546797,50383859-10000356435,Rental,"$8,263.78",2025-09-01,2025-09-30,2025-09-30,8FG80U-20020,,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,First of the Month
SINV-351261,4004547643,50406105-10000372712,Rental,"$1,542.03",2025-09-01,2025-09-30,2025-09-30,8FGC70U-20096,,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,First of the Month
SINV-350044,12143,ACU-804,Rental,"$2,697.16",2025-09-01,2025-09-30,2025-09-25,ACU-804,,AGI Cargo LLC,"Charter America Holdings, Inc.",Regular,First of the Month
SINV-350050,12141,C30i18060,Rental,"$16,683.03",2025-09-01,2025-09-30,2025-09-25,C30i18060,,AGI Cargo LLC,"Charter America Holdings, Inc.",Regular,First of the Month
SINV-350050,12141,C30i21006,Rental,"$16,683.03",2025-09-01,2025-09-30,2025-09-25,C30i21006,,AGI Cargo LLC,"Charter America Holdings, Inc.",Regular,First of the Month
SINV-350058,12144,T47948,Rental,"$3,221.51",2025-09-01,2025-09-30,2025-09-25,T47948,,AGI Cargo LLC,"Charter America Holdings, Inc.",Regular,First of the Month
SINV-351285,12139,T57324,Rental,"$2,400.20",2025-09-01,2025-09-30,2025-09-25,T57324,,AGI Ground Inc,"Charter America Holdings, Inc.",Regular,First of the Month
SINV-348891,65143,1005-041,Property Tax,"$2,401.24",2025-09-11,2025-09-11,2025-09-20,6304,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348892,65124,1005-01-003,Property Tax,$472.75,2025-10-01,2025-10-31,2025-09-20,12301,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-357190,11993,B25023036,Rental,"$2,961.06",2025-09-20,2025-10-19,2025-10-26,B25023036,,AGI Ground Inc,"Charter America Holdings, Inc.",Regular,First of the Month
SINV-351047,RI18549,1634,Rental,"$2,133.54",2025-10-01,2025-10-31,2025-09-30,351,,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month
