leaseNumber,company,supplier,arrangement,invoicing,notes,status
1634,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month,,Enabled
1667,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month,,Enabled
100-10149558,AGI Cargo LLC,"De Lage Landen Financial Services, Inc",Regular,First of the Month,,Enabled
1005-01-002,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-01-003,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-01-004,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-01-006,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-01-007,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-01-008,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-014,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-018,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-019,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-022,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-026,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-027,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-028,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-030,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-031,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-032,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-033,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-034,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-035,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-037,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-038,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-039,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-040,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-041,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-042,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-047,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-049,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-050,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-052,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-053,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-055,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
